カテゴリ,用語,解説
システム全体,フロントエンド,ユーザーが直接触る部分。Web画面やスマホアプリの画面など。
システム全体,バックエンド,ユーザーから見えない裏側の処理。データ処理、認証、注文処理などを担当する。
システム全体,サーバー,アプリやシステムの処理を実行するコンピューター。
システム全体,クラウド,自社でサーバー等を所有せず、インターネット経由でIT基盤を利用する考え方。
システム全体,Web,インターネット上でWebブラウザから利用できる仕組みやサービスの総称。
システム全体,アプリ,特定の目的のために動作するソフトウェア。スマホアプリやWebアプリなどがある。
API・システム連携,API,システム同士が情報をやり取りするための窓口。別システムにデータ取得や処理を依頼する際に使う。
API・システム連携,API連携,APIを使って別のシステムやサービスとデータをやり取りすること。
API・システム連携,外部API,他社などが提供するAPI。決済、地図、SNS、生成AIなどの機能を自社サービスから利用できる。
API・システム連携,Webhook,あるシステムでイベントが起きた際に、その結果を別システムへ自動通知する仕組み。
API・システム連携,リクエスト,APIに対して送る依頼。例：「顧客情報を取得して」とシステムに要求すること。
API・システム連携,レスポンス,APIへのリクエストに対して返ってくる結果やデータ。
API・システム連携,JSON,APIでデータを受け渡す際によく使われるデータ形式。
API・システム連携,REST API,HTTPなどWebの仕組みを使ってデータをやり取りする、広く利用されているAPI設計方式。
API・システム連携,エンドポイント,APIの具体的な接続先。例：ユーザー情報取得用、注文登録用などの個別の窓口。
API・システム連携,APIキー,APIを利用する際に、利用者やアプリケーションを識別するために使う認証情報。
API・システム連携,レートリミット,一定時間内にAPIを利用できる回数などを制限する仕組み。
データベース,データベース（DB）,サービスで利用するデータを整理して保存・検索・更新するための仕組み。
データベース,DBサーバー,データベースを動かし、データの保存や検索などを処理するサーバー。
データベース,テーブル,データベース内でデータを分類して保存する表。
データベース,レコード,テーブルの1行に相当するデータ。例：1人の顧客情報1件。
データベース,カラム,テーブルの列。例：顧客名、メールアドレス、電話番号など。
データベース,主キー（Primary Key）,各レコードを一意に識別するための項目。顧客IDや注文IDなど。
データベース,SQL,データベースからデータを取得・追加・更新・削除するための言語。
データベース,RDB,データを表形式のテーブルで管理するデータベース。MySQLやPostgreSQLなどが代表例。
データベース,NoSQL,RDBとは異なるデータ管理方式の総称。大量データや柔軟なデータ構造などに適する場合がある。
データベース,トランザクション,複数のデータ処理をひとまとまりとして扱い、全部成功または全部取り消すなど、データの整合性を保つ仕組み。
データベース,バックアップ,障害や誤操作などに備えて、データのコピーを保存しておくこと。
データ・分析,データ連携,別のシステムやサービス間でデータを受け渡すこと。
データ・分析,リアルタイム連携,データをほぼ即時に別システムへ反映する連携方式。
データ・分析,バッチ処理,一定時間ごとにデータをまとめて処理する方式。例：毎晩まとめて売上データを連携する。
データ・分析,DWH（データウェアハウス）,分析用に大量のデータを蓄積・整理するための仕組み。
データ・分析,BI,蓄積したデータを可視化・分析し、意思決定に活用するためのツールや仕組み。
データ・分析,ETL,データを取り出す（Extract）、加工する（Transform）、格納する（Load）処理。
データ・分析,ELT,データを取り出して格納した後、格納先で加工する方式。
データ・分析,データレイク,構造化・非構造化を問わず、さまざまな形式のデータをまとめて蓄積する仕組み。
データ・分析,マスターデータ,商品、顧客、店舗など、他の処理で基準として参照されるデータ。
データ・分析,データクレンジング,データの誤り、重複、表記ゆれなどを整理し、品質を高める作業。
クラウド・インフラ,AWS,Amazonが提供する代表的なクラウドサービス群。サーバー、DB、ストレージなど多様な機能を提供する。
クラウド・インフラ,Azure,Microsoftが提供するクラウドサービス群。
クラウド・インフラ,Google Cloud,Googleが提供するクラウドサービス群。
クラウド・インフラ,オンプレミス,自社でサーバーやネットワーク機器などのIT設備を保有・運用する方式。
クラウド・インフラ,仮想サーバー,物理的な1台のサーバー上に、仮想的な複数のサーバー環境を作って利用する仕組み。
クラウド・インフラ,コンテナ,アプリケーションと実行に必要な環境をまとめ、独立した単位として動かす仕組み。Dockerなどが代表例。
クラウド・インフラ,リージョン,クラウド事業者がデータセンターを設置している地理的な地域。
クラウド・インフラ,スケール,システムの処理能力やリソースを増減させること。
クラウド・インフラ,スケーラビリティ,利用者やデータ量が増えた際に、システムを拡張して対応できる性質。
クラウド・インフラ,可用性,システムをどれだけ継続して利用できるかを示す性質。
クラウド・インフラ,冗長化,一部のサーバーや機器が故障してもサービスを継続できるよう、複数構成にしておくこと。
ネットワーク,IPアドレス,ネットワーク上でコンピューターや機器を識別するための番号。
ネットワーク,ドメイン,example.comのように、Web上の場所を人間が覚えやすい名前で表すもの。
ネットワーク,DNS,ドメイン名をIPアドレスに変換する仕組み。
ネットワーク,URL,WebページやWebサービスなどの場所を示す文字列。
ネットワーク,HTTP / HTTPS,Web通信で使われるルール。HTTPSは通信を暗号化して安全性を高めた方式。
ネットワーク,ポート,ネットワーク通信の出入口を識別する番号。
