カテゴリ,用語,解説
システム全体,フロントエンド,クライアント側で動作するUI層。HTML/CSS/JavaScriptなどで構成され、ユーザーの入力を受け付けてバックエンドへリクエストを送る。
システム全体,バックエンド,サーバー側で動作するロジック層。認証・データ処理・外部連携などを担い、フロントエンドからのリクエストに応答する。
システム全体,サーバー,ネットワーク上でサービスや処理を提供するコンピューター。Webサーバー・APサーバー・DBサーバーなど役割ごとに分類される。
システム全体,クラウド,インターネット経由でITリソースをオンデマンドで利用する形態。初期投資を抑えつつ柔軟にスケールできる点が特徴。
システム全体,Web,HTTPプロトコルを基盤としてインターネット上で情報を公開・共有する仕組み。Webブラウザがクライアントとして機能する。
システム全体,アプリ,特定の業務や目的を実現するソフトウェア。Webアプリ・ネイティブアプリ・ハイブリッドアプリなどに分類される。
API・システム連携,API,Application Programming Interface。ソフトウェア間で機能やデータを共有するためのインターフェース仕様。
API・システム連携,API連携,APIを介して異なるシステム間でデータや機能を相互利用すること。疎結合なシステム構成を実現する手段として広く使われる。
API・システム連携,外部API,サードパーティが公開するAPI。決済・地図・認証・生成AIなどの機能を自社サービスに組み込む際に利用する。
API・システム連携,Webhook,イベント発生時にあらかじめ登録したURLへHTTPリクエストを送信する仕組み。ポーリングと異なりリアルタイム性が高い。
API・システム連携,リクエスト,クライアントがサーバーやAPIに対して処理を依頼するメッセージ。HTTPメソッド・URL・ヘッダー・ボディで構成される。
API・システム連携,レスポンス,サーバーがリクエストに対して返すメッセージ。ステータスコード・ヘッダー・ボディで構成される。
API・システム連携,JSON,JavaScript Object Notation。キーと値のペアで構造化されたテキスト形式のデータ記述言語。APIのデータ交換形式として広く使われる。
API・システム連携,REST API,HTTPメソッド（GET/POST/PUT/DELETE）を用いてリソースを操作するAPI設計スタイル。ステートレスな通信が原則。
API・システム連携,エンドポイント,APIが公開する個々のURL。リソースの種類や操作ごとに定義され、クライアントはここへリクエストを送る。
API・システム連携,APIキー,APIの利用者やアプリケーションを識別・認証するための文字列。不正利用防止やアクセス制御に使われる。
API・システム連携,レートリミット,単位時間あたりのAPIリクエスト数を制限する仕組み。サーバー負荷の平準化や不正利用防止を目的とする。
データベース,データベース（DB）,データを構造化して永続的に保存・検索・更新・削除できる仕組み。ACID特性やトランザクション管理が重要な概念。
データベース,DBサーバー,データベース管理システム（DBMS）が稼働するサーバー。クライアントからのSQL等を受け付けてデータを管理する。
データベース,テーブル,RDBにおいてデータを行と列の二次元表形式で管理する構造。エンティティに対応する。
データベース,レコード,テーブルの1行に相当するデータの集合。1件のエンティティインスタンスを表す。
データベース,カラム,テーブルの列。各レコードが持つ属性を定義し、データ型や制約を設定できる。
データベース,主キー（Primary Key）,テーブル内の各レコードを一意に識別する列または列の組み合わせ。NULL不可・重複不可が条件。
データベース,SQL,Structured Query Language。RDBに対してデータの定義・操作・制御を行うための標準言語。
データベース,RDB,Relational Database。データを表形式のテーブルで管理し、テーブル間の関係を外部キーで表現するデータベース。
データベース,NoSQL,RDB以外のデータ管理方式の総称。キーバリュー型・ドキュメント型・グラフ型などがあり、スキーマレスで柔軟なデータ構造を扱える。
データベース,トランザクション,複数のデータ操作をひとまとまりとして扱う処理単位。ACID特性（原子性・一貫性・独立性・永続性）を保証する。
データベース,バックアップ,障害・誤操作・災害などに備えてデータのコピーを別媒体や別拠点に保存すること。RPOやRTOを考慮して設計する。
データ・分析,データ連携,異なるシステム間でデータを受け渡す処理。リアルタイム連携とバッチ連携に大別される。
データ・分析,リアルタイム連携,イベント発生と同時またはほぼ即時にデータを別システムへ反映する連携方式。低レイテンシが求められる。
データ・分析,バッチ処理,一定時間ごとにデータをまとめて処理する方式。夜間処理など大量データの一括処理に適する。
データ・分析,DWH（データウェアハウス）,分析目的で大量の業務データを時系列に蓄積・統合するシステム。OLAPクエリに最適化されている。
データ・分析,BI,Business Intelligence。蓄積データを集計・可視化・分析し、経営判断を支援するツールや仕組みの総称。
データ・分析,ETL,Extract・Transform・Loadの略。ソースからデータを抽出し、変換・加工してDWHなどへ格納するプロセス。
データ・分析,ELT,Extract・Load・Transformの略。データをまず格納先へロードしてから変換する方式。クラウドDWHの普及で採用が増えている。
データ・分析,データレイク,構造化・半構造化・非構造化を問わず生データをそのまま大量に蓄積するストレージ。後から目的に応じて加工・分析する。
データ・分析,マスターデータ,商品・顧客・組織など、業務の基準となる共通データ。複数システムで参照されるため一元管理が重要。
データ・分析,データクレンジング,データの欠損・重複・表記ゆれ・異常値などを検出・修正し、データ品質を高める作業。
クラウド・インフラ,AWS,Amazon Web Services。Amazonが提供するクラウドプラットフォーム。EC2・S3・RDSなど200以上のサービスを提供する。
クラウド・インフラ,Azure,Microsoftが提供するクラウドプラットフォーム。Active DirectoryなどMicrosoft製品との親和性が高い。
クラウド・インフラ,Google Cloud,Googleが提供するクラウドプラットフォーム。データ分析やAI/ML関連サービスが充実している。
クラウド・インフラ,オンプレミス,自社施設内にサーバーやネットワーク機器を設置・運用する形態。クラウドと対比して使われる。
クラウド・インフラ,仮想サーバー,ハイパーバイザーを用いて物理サーバー上に論理的に分割した仮想マシン（VM）。リソースの柔軟な割り当てが可能。
クラウド・インフラ,コンテナ,アプリケーションとその実行環境をOS上で隔離して動かす軽量な仮想化技術。Dockerが代表的な実装。
クラウド・インフラ,リージョン,クラウドプロバイダーがデータセンターを展開する地理的な単位。可用性・レイテンシ・法規制への対応を考慮して選択する。
クラウド・インフラ,スケール,システムのリソースを増減させること。垂直スケール（スケールアップ）と水平スケール（スケールアウト）がある。
クラウド・インフラ,スケーラビリティ,負荷の増減に応じてシステムのリソースや処理能力を柔軟に拡張・縮小できる性質。
クラウド・インフラ,可用性,システムが要求された機能を継続して提供できる能力。稼働率（アップタイム）で表現されることが多い。
クラウド・インフラ,冗長化,単一障害点（SPOF）を排除するため、サーバーや回線などを複数系統用意してシステムの継続稼働を確保すること。
ネットワーク,IPアドレス,ネットワーク上の機器を識別する論理アドレス。IPv4は32ビット、IPv6は128ビットで表現される。
ネットワーク,ドメイン,IPアドレスに対応する人間が読みやすい名前。DNSによってIPアドレスに解決される。
ネットワーク,DNS,Domain Name System。ドメイン名をIPアドレスに変換する分散型データベースシステム。
ネットワーク,URL,Uniform Resource Locator。インターネット上のリソースの場所を示す文字列。スキーム・ホスト・パス・クエリなどで構成される。
ネットワーク,HTTP / HTTPS,HyperText Transfer Protocol。WebブラウザとサーバーがHTMLなどを送受信するプロトコル。HTTPSはTLSで通信を暗号化した安全な方式。
ネットワーク,ポート,トランスポート層でアプリケーションを識別する番号（0〜65535）。HTTPは80番、HTTPSは443番が標準。
ネットワーク,VPN,Virtual Private Network。公衆回線上に暗号化されたトンネルを構築し、仮想的な専用線として利用する技術。
ネットワーク,CDN,Content Delivery Network。地理的に分散したエッジサーバーからコンテンツを配信し、レイテンシ低減とオリジンサーバーの負荷軽減を図る仕組み。
ネットワーク,レイテンシ,リクエスト送信から最初のレスポンスが返るまでの遅延時間。ネットワーク品質やサーバー処理時間が影響する。
ネットワーク,帯域,単位時間あたりに転送できるデータ量の上限。帯域幅（バンド幅）とも呼ばれ、bpsで表現される。
セキュリティ,認証,システムにアクセスしようとする主体が本人であることを確認するプロセス。パスワード・生体情報・証明書などが使われる。
セキュリティ,認可,認証済みの主体に対して、特定のリソースや操作へのアクセス権限を付与・制御するプロセス。
セキュリティ,ID / パスワード,ユーザーを識別するIDと、本人確認に使うパスワードの組み合わせ。最も基本的な認証方式だが単独では強度が低い。
セキュリティ,個人情報,特定の個人を識別できる情報。個人情報保護法により取得・利用・管理・提供に関して厳格な規制が課される。
セキュリティ,暗号化,平文データをアルゴリズムと鍵を用いて第三者が解読できない形式に変換すること。対称鍵暗号と公開鍵暗号が主な方式。
セキュリティ,SSL/TLS,Transport Layer Security。公開鍵暗号と共通鍵暗号を組み合わせてインターネット通信を暗号化・認証する標準プロトコル。
セキュリティ,脆弱性,ソフトウェアや設定の不備により、不正アクセスや情報漏えいなどの攻撃に悪用される可能性のある弱点。
セキュリティ,WAF,Web Application Firewall。SQLインジェクションやXSSなどWebアプリへの攻撃をHTTPレベルで検知・遮断するセキュリティ機器。
セキュリティ,ファイアウォール,あらかじめ定めたルールに基づいてネットワークトラフィックを許可・遮断し、不正アクセスを防ぐ仕組み。
セキュリティ,多要素認証（MFA）,知識・所持・生体など異なる種別の認証要素を2つ以上組み合わせて本人確認する方式。単一要素より安全性が高い。
セキュリティ,権限,ユーザーやロールに付与された、システム上の操作やリソースへのアクセス可否を定めた設定。最小権限の原則が基本。
セキュリティ,ログ,システムやアプリケーションが動作中に記録するイベントの履歴。障害調査・性能分析・セキュリティ監査に活用される。
セキュリティ,監査ログ,誰が・いつ・どのリソースに・何の操作をしたかを記録したログ。改ざん防止と長期保存が求められる。
開発・プロジェクト,要件定義,システムに求められる機能・性能・制約などを利害関係者と合意し文書化する工程。上流工程の中核をなす。
開発・プロジェクト,要件,システムやサービスが満たすべき条件。機能要件（何をするか）と非機能要件（どのように動くか）に分類される。
開発・プロジェクト,仕様,システムの動作・入出力・制約などを具体的かつ明確に定めた文書。開発・テストの基準となる。
開発・プロジェクト,基本設計,要件をもとにシステムの全体構造・機能分割・画面・データ設計などを行う工程。外部設計とも呼ばれる。
開発・プロジェクト,詳細設計,基本設計を受けてモジュール内部のロジック・データ構造・アルゴリズムを設計する工程。内部設計とも呼ばれる。
開発・プロジェクト,実装／開発,設計書をもとにプログラムコードを記述してシステムを構築する工程。コーディングとも呼ばれる。
開発・プロジェクト,テスト,システムが仕様どおりに動作するかを検証し、欠陥を発見・修正する工程。品質保証の中核をなす。
開発・プロジェクト,単体テスト,個々のモジュールや関数が仕様どおりに動作するかを独立して検証するテスト。ホワイトボックステストが中心。
開発・プロジェクト,結合テスト,複数のモジュールやシステムを組み合わせた際のインターフェースや連携動作を検証するテスト。
開発・プロジェクト,受入テスト,発注者・利用者が実際の業務シナリオに基づいてシステムを検証し、納品・リリースの可否を判断するテスト。
開発・プロジェクト,リリース,開発・検証済みのシステムや機能を本番環境へ展開し、エンドユーザーが利用できる状態にすること。
開発・プロジェクト,本番環境,実際のエンドユーザーが利用する稼働環境。変更には厳格な変更管理プロセスが求められる。
開発・プロジェクト,開発環境,開発者がコーディング・デバッグ・動作確認を行うための環境。本番データは原則使用しない。
開発・プロジェクト,ステージング環境,本番環境と同等の構成でリリース前の最終検証を行う環境。本番リリース前の最後の品質ゲートとなる。
開発・プロジェクト,デプロイ,ビルド済みのアプリケーションをターゲット環境に配置・設定し、稼働可能な状態にする作業。
開発・プロジェクト,アジャイル,短いイテレーションで開発・フィードバック・改善を繰り返すソフトウェア開発の考え方。変化への対応を重視する。
開発・プロジェクト,ウォーターフォール,要件定義→設計→実装→テスト→運用の各工程を順次完了させる開発モデル。計画重視で変更コストが高い。
開発・プロジェクト,スクラム,アジャイル開発のフレームワーク。スプリントと呼ぶ短期反復サイクルで開発し、スクラムマスター・プロダクトオーナー・開発チームで構成される。
開発・プロジェクト,スプリント,スクラムにおける1〜4週間の開発反復サイクル。スプリント終了時に動作するソフトウェアを提供することを目標とする。
開発・プロジェクト,バックログ,プロダクトに必要な機能や改善事項を優先度順に一覧化したリスト。プロダクトオーナーが管理する。
開発・プロジェクト,MVP,Minimum Viable Product。仮説検証に必要な最小限の機能を持つ製品。市場投入を早め学習コストを最小化する考え方。
開発・プロジェクト,PoC,Proof of Concept。新技術やアイデアの実現可能性を小規模に検証する取り組み。本格開発前のリスク低減が目的。
開発・プロジェクト,技術的負債,短期的な判断による簡易実装や設計の妥協が積み重なり、将来の変更・保守コストを増大させている状態。
SaaS・外部サービス,SaaS,Software as a Service。ソフトウェアをインターネット経由でサービスとして提供・利用する形態。インフラ・ミドルウェア・アプリすべてをベンダーが管理する。
SaaS・外部サービス,PaaS,Platform as a Service。アプリケーション開発・実行基盤をサービスとして提供する形態。OSやミドルウェアの管理をベンダーが担う。
SaaS・外部サービス,IaaS,Infrastructure as a Service。仮想サーバー・ストレージ・ネットワークなどのITインフラをサービスとして提供する形態。
SaaS・外部サービス,サブスクリプション,一定期間の利用権に対して継続的に料金を支払うビジネスモデル。月額・年額などの定額制が一般的。
SaaS・外部サービス,外部サービス,自社開発ではなく第三者が提供するサービスを利用すること。開発コスト削減と引き換えにカスタマイズ自由度が制限される場合がある。
SaaS・外部サービス,ベンダー,システム・ソフトウェア・クラウドサービスなどを提供する企業。ベンダーロックインリスクの評価が重要。
SaaS・外部サービス,ライセンス,ソフトウェアの使用権を定めた契約。利用者数・インストール台数・用途などの条件が規定される。
SaaS・外部サービス,従量課金,API呼び出し回数・データ転送量・処理時間など実際の利用量に応じて料金が発生する課金モデル。
SaaS・外部サービス,SLA,Service Level Agreement。サービス提供者が保証する稼働率・応答時間・サポート対応時間などのサービス水準を定めた契約。
